index,full.name,ip.address,region,in.store,age,items,amount
0,Carter Stokes,,2,0,37,4,281.03
1,Jacob Jerde,,2,0,35,2,219.51
2,Tressa Ratke,192.90.208.202,4,1,45,3,1525.7
3,Rudolf Abshire,251.55.128.164,3,1,46,3,715.25
4,Theresa Davis,182.19.192.186,1,1,33,4,1937.5
5,Rich Bartell,,4,0,24,3,1314.2
6,Brooks Kutch,,2,0,43,6,8.5472
7,Keitha Mosciski,173.45.123.122,3,1,66,5,819.98
8,Hortense Streich,15.181.154.173,1,1,51,5,908.31
9,Carl Price,157.195.240.69,1,1,47,3,767.54
10,Scot Rolfson,125.149.221.56,3,1,44,5,122.39
11,Donald Heaney,70.8.139.33,1,1,33,2,684.32
12,Troy Kertzmann,,2,0,32,2,58.997
13,Katelin Reinger,174.248.11.168,3,1,48,7,529.57
14,Ailene Fahey,32.97.218.144,4,1,34,6,270.49
15,Melodie Friesen,,3,0,43,7,1585.1
16,Efrain Little,93.214.151.69,1,1,20,7,1901.3
17,Robin Gottlieb,63.167.121.216,3,1,43,4,165.48
18,Lowell Tremblay,,4,0,35,2,2791.6
19,Miss Murray,,4,0,58,7,1225.8
20,Angelo Romaguera,,4,0,37,7,1022.6
21,Chase Sporer,,3,0,49,5,2524.4
22,Aida Gislason,46.140.140.56,1,1,55,4,267.18
23,Hulda Witting,100.139.57.136,1,1,31,6,901.7
24,Darrick Hills,15.76.51.231,4,1,53,2,283.5
25,Verena Parker,113.210.253.7,4,1,21,5,113.65
26,Porfirio Jaskolski,,2,0,42,5,114.49
27,Svetlana Greenfelder,43.86.109.202,4,1,40,5,1151.7
28,Raymon Spinka,32.32.101.94,3,1,31,4,246.61
29,Cameron Hyatt,,4,0,28,7,623.05
30,Ahmad Prohaska,24.223.108.133,1,1,59,3,346.26
31,Lezlie Hudson,187.128.82.133,4,1,41,3,935.72
32,Phillis Little,248.32.34.171,3,1,74,6,652.57
33,Lu Sauer,8.53.199.142,3,1,49,7,987.98
34,Kiley Daugherty,4.82.177.198,3,1,55,1,120.47
35,Jovita Hansen,197.12.131.173,3,1,40,6,649.27
36,Edward Jaskolski,226.45.208.225,3,1,66,6,429.13
37,Marcie Swift,12.136.160.98,4,1,19,7,271.71
38,Quentin Funk,,2,0,43,1,472.69
39,Napoleon King,,3,0,20,8,261.1
40,Frank Connelly,,2,0,54,4,456.25
41,Corrina Douglas,,2,0,55,5,274.09
42,Omar Dickens,,3,0,57,4,2289.2
43,Johnathon Hansen,,3,0,44,1,861.21
44,Kenyetta Watsica,168.63.97.91,4,1,30,4,856.26
45,Gilberte Brown,83.210.161.213,4,1,46,3,754.08
46,Wilfred Hane,,3,0,27,6,592.34
47,Nicol Botsford,180.187.184.84,4,1,20,2,906.9
48,Porter Wolff,,4,0,57,3,505.34
49,Lino Gottlieb,99.31.146.232,4,1,51,5,901.74
50,Hector Hoppe,,4,0,30,6,1612.9
51,Cliff Feeney,,2,0,74,3,473.62
52,Debora Keebler,136.104.211.165,4,1,20,3,127.09
53,Franklin Crooks,114.207.250.84,4,1,38,4,1825.3
54,Kyung Gleichner,,2,0,44,7,245.28
